PMACC,PMAYEAR,COUNTY,GPSLONG,GPSLAT,EA_ID,DATUM,SURVEY
KE,2019,11. WEST_POKOT,35.07505087,1.259317207,404211012,WGS84,PMA
KE,2019,10. KAKAMEGA,34.83701916,0.557473214,404201008,WGS84,PMA
KE,2019,7. NANDI,35.13806294,0.137325017,404171020,WGS84,PMA
KE,2019,11. WEST_POKOT,35.04472913,1.311368739,404211007,WGS84,PMA
KE,2019,4. KILIFI,39.86383449,-3.611850106,404141024,WGS84,PMA
KE,2019,8. NYAMIRA,34.85984179,-0.685953783,404181013,WGS84,PMA
KE,2019,7. NANDI,35.32861035,0.044805189,404171036,WGS84,PMA
KE,2019,11. WEST_POKOT,35.31785663,1.417719853,404211016,WGS84,PMA
KE,2019,4. KILIFI,39.86486291,-3.555803501,404141010,WGS84,PMA
KE,2019,2. KERICHO,35.2159893,-0.380300334,404121002,WGS84,PMA
KE,2019,2. KERICHO,35.12749252,-0.458263639,404121025,WGS84,PMA
KE,2019,9. SIAYA,34.15455569,0.182772536,404191017,WGS84,PMA
KE,2019,3. KIAMBU,36.90162187,-0.972704326,404131003,WGS84,PMA
KE,2019,9. SIAYA,34.27429655,0.058895205,404191022,WGS84,PMA
KE,2019,1. BUNGOMA,34.57707654,0.503847015,404111003,WGS84,PMA
KE,2019,10. KAKAMEGA,34.45882404,0.336195092,404201018,WGS84,PMA
KE,2019,5. KITUI,37.97873246,-1.452348155,404151018,WGS84,PMA
KE,2019,7. NANDI,35.06266338,0.033638398,404171027,WGS84,PMA
KE,2019,6. NAIROBI,36.88612424,-1.262595275,404161032,WGS84,PMA
KE,2019,9. SIAYA,34.43949351,0.12973812,404191002,WGS84,PMA
KE,2019,3. KIAMBU,36.99983189,-1.113395278,404131028,WGS84,PMA
KE,2019,10. KAKAMEGA,34.79316957,0.160983652,404201005,WGS84,PMA
KE,2019,5. KITUI,38.0953941,-1.489616513,404151006,WGS84,PMA
KE,2019,3. KIAMBU,37.10936432,-1.051693506,404131008,WGS84,PMA
KE,2019,9. SIAYA,34.43541539,-0.019422061,404191009,WGS84,PMA
KE,2019,11. WEST_POKOT,35.08270362,1.26243881,404211004,WGS84,PMA
KE,2019,2. KERICHO,35.27333941,-0.362599657,404121007,WGS84,PMA
KE,2019,7. NANDI,35.25874112,0.094532444,404171016,WGS84,PMA
KE,2019,6. NAIROBI,36.8474985,-1.294400355,404161007,WGS84,PMA
KE,2019,1. BUNGOMA,34.54375106,0.543497608,404111018,WGS84,PMA
KE,2019,10. KAKAMEGA,34.78475719,0.190548142,404201014,WGS84,PMA
KE,2019,1. BUNGOMA,34.76386238,0.907796349,404111013,WGS84,PMA
KE,2019,4. KILIFI,39.63413681,-3.806675636,404141022,WGS84,PMA
KE,2019,9. SIAYA,34.37404492,-0.072935409,404191023,WGS84,PMA
KE,2019,4. KILIFI,40.02060297,-3.307452668,404141004,WGS84,PMA
KE,2019,7. NANDI,35.07872905,0.211823659,404171040,WGS84,PMA
KE,2019,9. SIAYA,34.33511375,-0.189454104,404191024,WGS84,PMA
KE,2019,11. WEST_POKOT,35.38959067,1.188401684,404211011,WGS84,PMA
KE,2019,6. NAIROBI,36.86911206,-1.251731066,404161010,WGS84,PMA
KE,2019,8. NYAMIRA,34.95665226,-0.608567688,404181006,WGS84,PMA
KE,2019,6. NAIROBI,36.91828031,-1.282404337,404161025,WGS84,PMA
KE,2019,4. KILIFI,39.84899109,-3.697637441,404141009,WGS84,PMA
KE,2019,11. WEST_POKOT,35.19208701,1.291082865,404211024,WGS84,PMA
KE,2019,4. KILIFI,39.60919034,-3.880357023,404141013,WGS84,PMA
KE,2019,10. KAKAMEGA,34.39977063,0.332086723,404201016,WGS84,PMA
KE,2019,7. NANDI,35.17533294,0.095118005,404171010,WGS84,PMA
KE,2019,2. KERICHO,35.27931041,-0.260860536,404121023,WGS84,PMA
KE,2019,8. NYAMIRA,35.01397905,-0.443563226,404181011,WGS84,PMA
KE,2019,10. KAKAMEGA,34.41254766,0.205991005,404201021,WGS84,PMA
KE,2019,11. WEST_POKOT,34.92309431,1.281243829,404211001,WGS84,PMA
KE,2019,6. NAIROBI,36.76202924,-1.335302235,404161024,WGS84,PMA
KE,2019,5. KITUI,38.41129555,-0.542894098,404151001,WGS84,PMA
KE,2019,5. KITUI,38.46006921,-1.048090358,404151025,WGS84,PMA
KE,2019,2. KERICHO,35.08862057,-0.37273051,404121017,WGS84,PMA
KE,2019,8. NYAMIRA,34.93315516,-0.493354533,404181012,WGS84,PMA
KE,2019,7. NANDI,34.95225872,0.448383538,404171030,WGS84,PMA
KE,2019,4. KILIFI,39.7599687,-3.526784352,404141019,WGS84,PMA
KE,2019,4. KILIFI,40.1105376,-3.225468807,404141011,WGS84,PMA
KE,2019,6. NAIROBI,36.72959048,-1.267864894,404161004,WGS84,PMA
KE,2019,10. KAKAMEGA,34.56006298,0.43072436,404201012,WGS84,PMA
KE,2019,11. WEST_POKOT,34.98692314,1.306125651,404211006,WGS84,PMA
KE,2019,2. KERICHO,35.31691695,-0.296547249,404121012,WGS84,PMA
KE,2019,5. KITUI,38.04885664,-1.198804873,404151005,WGS84,PMA
KE,2019,9. SIAYA,34.28820922,0.053858684,404191006,WGS84,PMA
KE,2019,7. NANDI,34.98464567,0.465341826,404171017,WGS84,PMA
KE,2019,7. NANDI,34.95543266,0.308445869,404171007,WGS84,PMA
KE,2019,1. BUNGOMA,34.75198686,0.56874633,404111001,WGS84,PMA
KE,2019,1. BUNGOMA,34.55975469,0.588032074,404111020,WGS84,PMA
KE,2019,6. NAIROBI,36.91888894,-1.222430644,404161029,WGS84,PMA
KE,2019,3. KIAMBU,36.75588125,-1.178608537,404131011,WGS84,PMA
KE,2019,5. KITUI,38.06426693,-1.118931127,404151030,WGS84,PMA
KE,2019,11. WEST_POKOT,35.1383804,1.713241057,404211013,WGS84,PMA
KE,2019,6. NAIROBI,36.87569198,-1.324466065,404161011,WGS84,PMA
KE,2019,5. KITUI,38.05162221,-1.224216832,404151015,WGS84,PMA
KE,2019,10. KAKAMEGA,34.62388449,0.205891683,404201019,WGS84,PMA
KE,2019,7. NANDI,35.31080501,0.038712215,404171021,WGS84,PMA
KE,2019,4. KILIFI,39.47141208,-3.858760872,404141008,WGS84,PMA
KE,2019,6. NAIROBI,36.79555533,-1.304600616,404161012,WGS84,PMA
KE,2019,5. KITUI,37.93995256,-1.388626496,404151022,WGS84,PMA
KE,2019,6. NAIROBI,36.73750476,-1.30417201,404161003,WGS84,PMA
KE,2019,11. WEST_POKOT,35.25637974,1.621754523,404211014,WGS84,PMA
KE,2019,2. KERICHO,35.32620795,-0.362353967,404121015,WGS84,PMA
KE,2019,10. KAKAMEGA,34.88690336,0.608983368,404201006,WGS84,PMA
KE,2019,7. NANDI,35.09758227,0.213458768,404171006,WGS84,PMA
KE,2019,3. KIAMBU,36.73685151,-1.225925091,404131007,WGS84,PMA
KE,2019,7. NANDI,34.99032107,0.275354352,404171032,WGS84,PMA
KE,2019,7. NANDI,35.06014446,0.165543025,404171028,WGS84,PMA
KE,2019,6. NAIROBI,36.91355671,-1.279311501,404161027,WGS84,PMA
KE,2019,7. NANDI,35.32438848,0.020286149,404171011,WGS84,PMA
KE,2019,3. KIAMBU,36.88825256,-1.134001803,404131004,WGS84,PMA
KE,2019,6. NAIROBI,36.88222731,-1.253379645,404161021,WGS84,PMA
